Timepoint
Date	Time	Num Gens MW	Total MW Gen	Gen 1 #1 MW	Gen 3 #PV MW	Gen 5 #PV MW	Gen 6 #PV MW	Gen 7 #PV MW	Gen 8 #PV MW	Gen 9 #PV MW	Gen 10 #PV MW	Gen 12 #PV MW	Gen 13 #BT MW	Gen 13 #PV MW
10/15/2025	12:00:00 AM	11	0.3	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10/15/2025	1:00:00 AM	11	0.3	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10/15/2025	2:00:00 AM	11	0.3	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10/15/2025	3:00:00 AM	11	0.2	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10/15/2025	4:00:00 AM	11	0.2	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10/15/2025	5:00:00 AM	11	0.2	0.332	0.002	0.001	0.001	0.002	0.002	0.002	0.003	0.002	0.000	0.003
10/15/2025	6:00:00 AM	11	0.2	0.332	0.006	0.004	0.003	0.006	0.006	0.007	0.009	0.007	0.000	0.010
10/15/2025	7:00:00 AM	11	0.3	0.332	0.011	0.008	0.005	0.010	0.011	0.014	0.017	0.012	0.000	0.019
10/15/2025	8:00:00 AM	11	0.2	0.332	0.015	0.011	0.007	0.014	0.015	0.019	0.023	0.017	0.000	0.027
10/15/2025	9:00:00 AM	11	0.2	0.332	0.018	0.013	0.009	0.017	0.018	0.023	0.028	0.021	0.000	0.032
10/15/2025	10:00:00 AM	11	0.2	0.332	0.015	0.011	0.007	0.014	0.015	0.019	0.023	0.017	0.000	0.027
10/15/2025	11:00:00 AM	11	0.2	0.332	0.022	0.016	0.011	0.021	0.022	0.029	0.035	0.026	0.000	0.040
10/15/2025	12:00:00 PM	11	0.2	0.332	0.027	0.019	0.013	0.026	0.027	0.034	0.042	0.031	0.000	0.048
10/15/2025	1:00:00 PM	11	0.2	0.332	0.026	0.019	0.012	0.025	0.026	0.033	0.040	0.030	0.000	0.047
10/15/2025	2:00:00 PM	11	0.3	0.332	0.016	0.011	0.008	0.015	0.016	0.020	0.025	0.018	0.000	0.029
10/15/2025	3:00:00 PM	11	0.2	0.332	0.013	0.010	0.006	0.013	0.013	0.017	0.021	0.016	0.000	0.024
10/15/2025	4:00:00 PM	11	0.3	0.332	0.012	0.008	0.006	0.011	0.012	0.015	0.018	0.013	0.000	0.021
10/15/2025	5:00:00 PM	11	0.4	0.332	0.011	0.008	0.005	0.011	0.011	0.014	0.018	0.013	0.000	0.020
10/15/2025	6:00:00 PM	11	0.4	0.332	0.006	0.004	0.003	0.006	0.006	0.008	0.010	0.007	0.000	0.011
10/15/2025	7:00:00 PM	11	0.4	0.332	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.000	0.002
10/15/2025	8:00:00 PM	11	0.4	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10/15/2025	9:00:00 PM	11	0.3	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10/15/2025	10:00:00 PM	11	0.3	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10/15/2025	11:00:00 PM	11	0.4	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000


