Timepoint
Date	Time	Skip	1  TO  2 CKT 1 % of MVA Limit From 	2  TO  3 CKT 1 % of MVA Limit From 	2  TO  6 CKT 1 % of MVA Limit From 	2  TO  13 CKT 1 % of MVA Limit From 	3  TO  4 CKT 1 % of MVA Limit From 	4  TO  5 CKT 1 % of MVA Limit From 	6  TO  7 CKT 1 % of MVA Limit From 	7  TO  8 CKT 1 % of MVA Limit From 	8  TO  9 CKT 1 % of MVA Limit From 	8  TO  11 CKT 1 % of MVA Limit From 	9  TO  10 CKT 1 % of MVA Limit From 	11  TO  12 CKT 1 % of MVA Limit From 
10/15/2025	12:00:00 AM	NO	80.75	42.62	81.45	74.81	41.61	21.02	74.61	82.95	87.37	34.46	15.85	8.56
10/15/2025	1:00:00 AM	NO	81.18	49.47	68.82	88.12	48.27	28.61	65.41	70.26	70.40	33.15	16.82	11.45
10/15/2025	2:00:00 AM	NO	69.46	48.48	46.96	86.96	47.30	36.93	43.95	47.75	55.38	15.45	16.80	8.21
10/15/2025	3:00:00 AM	NO	61.35	50.80	36.65	70.47	49.56	31.99	33.29	42.03	25.13	37.30	10.38	29.35
10/15/2025	4:00:00 AM	NO	47.30	43.06	22.40	58.28	36.24	31.94	18.69	24.00	12.62	23.19	8.54	15.67
10/15/2025	5:00:00 AM	NO	44.87	34.02	26.66	58.18	30.04	28.38	21.34	26.79	7.09	35.10	5.10	27.25
10/15/2025	6:00:00 AM	NO	42.91	29.10	32.80	47.98	30.27	30.98	25.25	23.06	12.22	28.27	12.51	18.42
10/15/2025	7:00:00 AM	NO	49.73	39.85	33.26	53.47	42.68	50.60	20.67	20.59	13.07	28.66	6.62	14.76
10/15/2025	8:00:00 AM	NO	19.38	24.74	13.35	31.68	29.62	38.19	16.32	16.39	22.88	19.72	17.35	7.69
10/15/2025	9:00:00 AM	NO	13.13	14.99	25.16	28.07	20.39	25.52	27.47	29.25	25.82	6.93	22.01	8.24
10/15/2025	10:00:00 AM	NO	13.61	10.55	12.93	27.73	14.70	15.65	13.96	14.74	11.25	8.57	9.14	5.03
10/15/2025	11:00:00 AM	NO	15.67	6.39	28.31	20.18	11.51	5.89	32.48	37.70	30.60	7.18	20.43	13.37
10/15/2025	12:00:00 PM	NO	30.01	6.74	50.15	14.26	8.68	5.00	52.58	60.05	53.86	11.60	34.05	19.21
10/15/2025	1:00:00 PM	NO	18.21	11.30	29.09	26.01	17.49	15.13	35.94	36.70	38.94	18.20	31.92	10.95
10/15/2025	2:00:00 PM	NO	32.78	25.91	23.59	34.86	26.32	18.99	17.49	22.50	11.96	44.28	7.86	31.81
10/15/2025	3:00:00 PM	NO	28.21	27.08	16.79	28.68	31.45	28.27	11.97	12.91	9.86	22.91	9.47	9.80
10/15/2025	4:00:00 PM	NO	51.12	42.17	39.94	41.01	45.41	48.44	23.74	34.04	23.36	38.65	14.82	16.10
10/15/2025	5:00:00 PM	NO	83.33	41.86	70.04	109.63	45.58	46.52	48.84	58.99	43.88	53.93	37.57	22.40
10/15/2025	6:00:00 PM	NO	98.16	60.71	87.87	95.46	61.01	37.44	70.51	79.23	64.36	58.15	41.06	25.75
10/15/2025	7:00:00 PM	NO	100.47	54.73	88.05	116.25	53.35	29.60	76.96	79.66	62.93	55.42	35.96	16.82
10/15/2025	8:00:00 PM	NO	103.17	55.50	92.46	116.69	53.48	32.92	80.59	83.19	65.63	56.53	41.39	22.24
10/15/2025	9:00:00 PM	NO	81.52	35.22	77.95	99.70	32.81	25.46	59.29	60.81	43.64	46.21	28.40	15.78
10/15/2025	10:00:00 PM	NO	75.31	35.46	73.94	82.42	33.51	24.54	51.47	51.72	40.36	36.25	28.60	7.15
10/15/2025	11:00:00 PM	NO	96.48	42.10	94.53	112.60	37.89	23.23	79.62	85.39	66.04	59.27	25.42	9.45



Timepoint
Date	Time	Num Gens MW	Total MW Gen	Gen 1 #1 MW	Gen 3 #PV MW	Gen 5 #PV MW	Gen 6 #PV MW	Gen 7 #PV MW	Gen 8 #PV MW	Gen 9 #PV MW	Gen 10 #PV MW	Gen 12 #PV MW	Gen 13 #BT MW	Gen 13 #PV MW
10/15/2025	12:00:00 AM	11	0.3	0.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10/15/2025	1:00:00 AM	11	0.3	0.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10/15/2025	2:00:00 AM	11	0.3	0.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10/15/2025	3:00:00 AM	11	0.2	0.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.01	0.0
10/15/2025	4:00:00 AM	11	0.2	0.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.01	0.0
10/15/2025	5:00:00 AM	11	0.2	0.332	0.002	0.001	0.001	0.002	0.002	0.002	0.003	0.002	-0.01	0.003
